overall,vote,verified,reviewTime,asin,style,reviewText,summary,unixReviewTime,image,EMAIL
5.0,,False,"03 31, 2012",B001VMAYAM,,I bought this product refurbished and it has worked great for the last two years. It functions quickly and the Cisco help line was helpful during set up,i have had it for two years,1333152000,,bird@gmail.com
5.0,,True,"05 29, 2017",B0023WU6OI,,"I've seen the Genius' in Apple Stores use this kit, and I must say it doesn't disappoint. I've been using it to clean all my devices, including a 15"" MacBook pro Retina, a 27 iMac, and a couple iPhone 6's, and the solution and included cloths work great. Use the gray microfiber to get off the smudges, and the blue towel to shine and remove oil. I don't think I have a single complaint about this kit. Includes a few travel towels, as well as two different size bottles of solution. I would purchase again.",and I must say it doesn't disappoint. I've been using it to clean all my ...,1496016000,,MichaelAmes@outlook.com
5.0,,True,"05 29, 2017",B005LFT3QG,"{'Size:': ' 64 GB', 'Package Type:': ' Frustration-Free Packaging'}","It's big, its fast. What more do you want? Using in my Nikon D3400 DSLR without issues.",Five Stars,1496016000,,MichaelAmes@outlook.com
5.0,,True,"05 6, 2012",B002669XKY,,"i being using this adapter for about 2 years now, and so far so good, no complains, i know is an extra money and should be ""built in"" but then again, that is not the purpose of this review, overall 5 stars!!!",great product!!,1336262400,,michaelpavon@gmail.com
5.0,,True,"11 26, 2012",B00273Z9WM,{'Package Type:': ' Standard Packaging'},"I was apprehensive about a Nyko product especially involving 3rd party batteries, but the Microsoft play and charge batteries aren't that great anyway. It works great and looks clean, I'll definitely be ordering a couple more batteries when I get 2 more controllers.",Perfect,1353888000,,AndrewStephens@hotmail.com
2.0,2,True,"01 27, 2010",B0027EMHM6,"{'Size:': ' 1 Pack', 'Color:': ' Black'}","It won't stand up to even a mild amount of plugging and unplugging. Mine worked fine for about three months, then disintegrated. I'm going with something more sturdy next time around.",It broke.,1264550400,,yodelingharry@outlook.com
1.0,2,True,"02 24, 2015",B002AQSTXM,{'Capacity:': ' Class 2'},"The listing said compatible with mac, however the package said it is not. Not detected by my mac, no drivers on CD.",LISTING SAYS MAC COMPATIBLE: NOT MAC COMPATIBLE,1424736000,,Suppe@gmail.com
1.0,4,True,"02 8, 2016",B002O0KMCA,,"opening tray would not work.  Software seems defective.  does not allow advertised writing speed.  Recieved two items, but ordered only one.  Stlll waiting for reimbursement a month after sending back to seller per their instructions.",would not recommend.,1454889600,,mikehammer@outlook.com
4.0,,True,"04 5, 2013",B002QGDWLK,,"I purchased this drive two months ago. I use it primarily to create DVD-R video DVDs using Taiyo-Yuden (JVC) TY02 DVD-R media. I test my burns with another Liteon drive using the ""DVD Speed"" software. The burns are generally good, although not quite as good as my old Plextor drive (ah, the days when you could actually purchase a premium drive that had superior specifications).

My one problem is something that perhaps most people won't care about: this burner will not burn at 1x. Why does this matter? Well, I still have a large number of older DVD+RW discs that I use almost every day for making test burns of new videos before I burn multiple copies onto DVD-R media. Some of these discs can only be burned at 1x. Unfortunately this burner does not have a 1x option and so it burns this media at a faster speed. The problem is that this faster write strategy makes the discs unreadable and, with this burner, they cannot be recovered. Fortunately, I have an older burner that can do a full erase, at 1x, and bring the media back to life. For the time being, I have to use this older burner, located on a seldom-used PC, to do the burns on this older media.

For most people, this deficiency is not a deal breaker, and I have found a way around it, as long as my older burner continues to operate, but I thought I should mention it in case you have any older 1x and 2x media lying around: you may not be able to burn reliably with this burner. For 4x, 8x, and 16x DVDs, this burner works just fine.","Good drive, but can't write to legacy media",1365120000,,JohnMeyer@hotmail.com
5.0,,True,"01 13, 2013",B00378KMF0,"{'Color:': ' Black', 'Style:': ' Atrium 4'}","Simple and easy replacement, very easy to put in fit space perfectly and fit right in! Sound and look great",Patio  perfect,1358035200,,kirkbowyer@hotmail.com
5.0,,True,"11 5, 2017",B003D3NEEU,{'Package Type:': ' Standard Packaging'},I actually modified this for my Lincoln Mark VIII.  Used the sides as shims.  Trimmed the front to make a nice trim piece inset in my stock radio trim ring.  Works perfectly.,Great fit,1509840000,,SamPerry@hotmail.com
1.0,,True,"11 19, 2014",B003HH9FIQ,{'Package Type:': ' Standard Packaging'},"Total over rated poop doodie, not rated watts except at peak, a big fail. I cut off wires and kept
accessories and dumped it in recycling.",Poopular Failure.,1416355200,,Blackhat.@hotmail.com
4.0,,True,"11 19, 2014",B004AH10K8,{'Size:': ' 1. Professional Rain Cover'},"Ok, all of these work, unless you want a clear trash compactor bag and some rubber bands to keep the hole you cut on the lense hood, kind of looks more pro, but never forget what a plastic bag can do in an emergency.",Nice to have in a camera bag.,1416355200,,Blackhat.@hotmail.com
5.0,,True,"08 25, 2015",B003WGJYCY,,thanks,Five Stars,1440460800,,MelissaGinnard@rediffmail.com
5.0,,True,"11 19, 2015",B003YKG8YK,,Perfect design.,Ingenious,1447891200,,StefanHayes@hotmail.com
5.0,,True,"07 20, 2015",B006ZT4VA0,,Works like a dream.,Perfect!,1437350400,,StefanHayes@hotmail.com
5.0,,True,"01 12, 2015",B00461G3MS,"{'Capacity:': ' 500 GB', 'Style:': ' 7200 RPM'}",This drive was a direct replacement for a WD 250GB. The unit performs just like the original with no issues at this time.,The unit performs just like the original with no issues at this time,1421020800,,ThomasKeller@outlook.com
5.0,,True,"03 28, 2014",B0049SCB2Y,,"Just got it.  Ran out of HDMI ports so I'm using this to switch between a PS3 and XB360 (Kinivo, PS4, XB1, and DVR going right into back of Sony receiver).

Seems to auto switch to whichever one is on . . what more could I ask?  Seems like a high quality piece of kit--especially for 40 bucks.

Thanks Kinivo.",Works flawlessly,1395964800,,gramparsons@outlook.com
4.0,8,False,"06 19, 2013",B008ABOJKS,"{'Size:': ' AC1750', 'Style:': ' 600MHZ CPU'}","I wish I could give 3.5 stars.  That's how a I feel.

Good:
-The router is flexible and has great admin controls.  This really is an ethusiasts router--don't buy this if all you are interested is plug and play.
-Better range throughout my house, which is about 3000sqft on one level.  The 4th Gen Airport Extreme it replaces didn't have the same range
-External Antennae.  I don't know if this makes a difference, but I feel like it does.  You can adjust them, replace them, extend them if you want.
-Fast  . .I don't have empirical data but everything feels faster than my old router

Bad:
- Do you really need this router?  What bout its sibling, the cheaper N-only version?  I don't have a single AC client.  So why did I buy this one?  Sickness, I guess.
- Customer Support.  I called three times.  Was on hold for 30 minutes the first time, got disconnected.  Second time, got some voice mail after about 45 minutes.  Third time, I got through after 30 minutes to someone who was initially very obviously irritated to be taking my call, or anyone's call.
- Design . . the Netgear 6300 really has a beautiful design.  It stands up, with ports along the BOTTOM of the back of the device.  They advise you to stand up the ASUS for cooling purposes, but then the wires come out of the TOP . . it's hideous if your router is visible.

=====================================================
Edit 6/22

I'm lowering to one star.  The 5gz signal drops are real.  And they affect a lot of people.  After about 12 hours the 5 GHz signal loses strength and speed.  A simple re-apply of the settings using the router software boosts the signal back up to full strength.  I've done this about 5 days in a row.

I'll edit this review again if it is ever fixed.  However, the last firmware available from Asus is months old--and it's ""Beta.""  I think they are working on their new router.  If this problem isn't resolved I won't buy their new router.  , I'll never buy another ASUS product, ever.  And I currently have an ASUS PC, Android tablet (Transformer Infinity), and now this router.

I may yet return this and get the Netgear 6300 instead.  I've had good luck with Netgear in the past.  This router is generally rated higher than the Netgear, but router is not something I want to reboot daily.

Edit 6/22 part 2
To be fair, I was checking my driver software on my client card (an Intel Centrino 6250 series).  And the driver was out of date.  Why this wasn't updated by Windows Update?  Beats me.  It's only fair to give this update a ride for a day or so to determine if perhaps the problem isn't on my side.  I have a lot of devices--but not a lot of 5G devices that can monitor a connection",Mixed feelings,1371600000,,gramparsons@outlook.com
5.0,,True,"02 8, 2017",B004AZ38Z0,,they are super clippy!,Great product!,1486512000,,JacobBudd@rediffmail.com
5.0,,True,"07 24, 2017",B006LW0W5Y,{'Configuration:': ' 16-Gauge Speaker Wire'},if you give this less than 5 stars you have some sort of weird set of standards that no reasonable human could possibly understand. Its freaking wire. use it.,Wirey goodness,1500854400,,JacobBudd@rediffmail.com
5.0,,True,"12 26, 2014",B007VGGFZU,"{'Color:': ' Black', 'Configuration:': ' Base', 'Style:': ' w/ 18-55mm'}",Great item and seller,Five Stars,1419552000,,JacobBudd@rediffmail.com
5.0,,True,"01 30, 2017",B004FHO5Y6,,works very well a good little unit,Five Stars,1485734400,,EdwardMatty@gmail.com
5.0,,True,"12 6, 2017",B0055CR9M0,,Nice light weight,Five Stars,1512518400,,EdwardMatty@gmail.com
5.0,,True,"10 16, 2017",B005DL2OVE,,product works well,Five Stars,1508112000,,EdwardMatty@gmail.com
5.0,,True,"09 3, 2014",B004LEAYXY,{'Package Type:': ' Standard Packaging'},Great price and they worked perfectly.  Loved it.,Five Stars,1409702400,,JefferySmeal@hotmail.com
4.0,,True,"12 21, 2012",B004OVECU0,,"Got this remote to control my A/V receiver, Blu Ray player, TV, CD Player, and Cable box.  After getting the model numbers off my devices, going on line to program the device was relatively simple.  If you get the right model into the device, it can fine tune itself if things are not working exactly as you'd hoped, by the screen asking you a series of questions and tweaking it's own settings.  I've not yet gotten into the details of making it able to eject the DVD, or switch A/V sound presets (Action; Sci Fi; Drama; etc...my receiver has presets for the sound output for different types of movies and music), but I'm sure I will do so soon.  My wife loves it because she had no clue how to turn everything on/off with three or four different remotes.  For the money, it's a good remote, as long as you are not trying to control more than 5 devices. The little screen is nice to let you know where you are and you can preset favorite channels.  I have Logitech wireless keyboards, mice, etc and have always had excellent service with all their products.",Nice remote,1356048000,,MidnightRider@outlook.com
5.0,2,True,"09 2, 2012",B004QK7HI8,"{'Package Type:': ' Standard Packaging', 'Style:': ' Leaf 30'}",I bought these based on other people's customer reviews.  The product is really paper thin as described.  One side is black and the other is white.  I received 0 channels with my rabbit ears and can get 20 DTV channels with this product.  Well worth the money!!!,Better than rabbit ears.,1346544000,,MatthewMorgan@hotmail.com
2.0,5,True,"07 10, 2011",B004RORMF6,{'Capacity:': ' 3 TB'},"I've owned this product for 3 days, and I've encountered read problems. When transferring files from this HD to another HD, it randomly locks up with an I/O error. All I was doing was moving files using Windows Explorer in Windows 7. I can't move files, and I can't copy files to another drive/USB drive/CD burner/etc. Certain files are permanently stranded on this HD, and there's nothing I can do to retreive it. It's always the same files too. The drive isn't broken. I just can't move these files. This is a very odd error.",Read errors.,1310256000,,DiamondDental@rediffmail.com
5.0,,True,"10 27, 2014",B004RORMF6,{'Capacity:': ' 1 TB'},"I chose this model because it received high ratings from one of the well known data farms for long term dependability.  I installed it as a secondary drive in  a new home built computer, dedicated to processing and storing photo images. Installation was by the book. No problems. No complaints. I would buy this one again for the next project.","So far, so good.",1414368000,,JerryLohman@gmail.com
5.0,,True,"12 4, 2016",B004SY5O5K,"{'Package Type:': ' Standard Packaging', 'Style:': ' 2 in 1 Adapter'}","Great, simple, universal power adapter for Euro-style outlets!","Great, simple product!",1480809600,,MarkRecek@hotmail.com
5.0,,True,"08 31, 2016",B004W697ES,{'Color:': ' Black'},Don't know if these are still $20 but it's a great product for using the iPad whilst laying about.,... know if these are still $20 but it's a great product for using the iPad whilst laying about,1472601600,,Lunzer@gmail.com
5.0,,True,"02 18, 2017",B004X692O2,,"So I was given a pile of 10-40 year old ancient CB radios. I was also given a pile of antennas and a couple AC to DC converter boxes to power them in the house. I played with them in the house and could hear people talking. Cool! I wanted to try them in a vehicle without installing them permanently.

All of my old CBs seem to have power inputs that have 3 holes: 2 close together and 1a little further away. They work with this cord just fine. This cord has a white fuse holder with a 4 amp 250v fuse in it for protection.

The best way to get the quietest signal in a car is to apparently wire the CB directly to the battery... I'm a librarian, not a long-haired trucker so I wanted this cord to pop into my cigarette lighter for fun. I suppose later on I could cut the cigarette plug of and wire it more directly? I'm just playing around at the moment.

The cigarette lighter method induces the most amount of noise. I can hear my turn signal and engine rev up to about 25mph then it quiets down. Stepping on the breaks makes a loud noise just like someone clicking their mic but not saying anything. However this is with the squelch knob set to 0! With the squelch knob set to just 1 all of that disappears except sometimes hitting the brake will make the ca-chunk noise. I'm sure all would be fine setting squelch at 2. The worst noise funny enough was a LEAD light fixture in my garage, which caused me a little confusion into I shut it off, lol!

With the vehicle off there was no noise.

My test CB was an ancient Cobra 21gtl that I got free. The antenna was some no name brand freebie from the neighbor's recycling bin on a 9' cable. The vehicle was a 2000 Ford Ranger with 3.0L and automatic transmission and ZERO modifications of any sort: standard CD/cassette deck radio just like when I got it straight from the factory 17 years ago. Its got only 99,910 original miles on it...But it's still just an old farm truck basically. I have a feeling that newer cars would have less electrical noise/interference and better insulation since they're setup for wifi and Bluetooth, etc.

This cord is 6' long, the cigarette lighter plug fits snug. All good. I can plug/remove my CB in just a few seconds.

Recommendations: never mount your CB were you or your passenger legs are because you'll be horribly injured in even a minor fender bender! I just put my CB on the passenger seat since I'm not totally into this hobby yet.

Get a cigarette lighter expander for cheap. They have them with indiviual on/off buttons for each extra port. The ""MEIDI Car Accessories 3.1A 3-Socket Cigarette Car Lighter Power Adapter DC Outlet Splitter with 12V/24V Dual USB Car Charger for iPhone 6/6plus /7, Samsung Galaxy S6 and More"" is fairly awesome and shows your input voltage: 14v car running, 13.8v CB on, 12.8v car off, 12.7v car off CB on. It's less than 20 bucks and you can cut power to each of the three ports individually (car seat massagers and heater, CB, some third thing I'll pick up at a garage sale, right now it's a blinding spot light for no reason...Except I helped someone look for their glasses in a dark library parking lot with it, lol.).

This makes playing with CBs on your car easy: no messing with the actual wires in your car. You like CBs? Fine, go for amore permanent and quieter install. Until then squelch at 1 or 2 (the knob can go to 10!).

Another tip: NEVER click on your mic without an antenna plugged in because you can blow part of the radio. I just want to listen and not talk so I don't care BUT MY CBS DON'T WORK AT ALL UNLESS THE MICROPHONE IS PLUGGED IN! I have 4 CBs and only 1 mic which is slightly annoying: none work unless the mic is attached! Someone heard me talking about this and they're going to dig up about CB they don't want and give it to me... Hopefully they'll have some mics too.

Good luck or whatever we CB people say,
Mike from Detroit.",Ancient CB works now!,1487376000,,MichaelLogusz@outlook.com
4.0,16,True,"12 4, 2013",B005JPWIAQ,{'Style:': ' FD'},"To get the lens to stop down (darken when you move f/stop ring) you must:

1. Mount the adapter onto the camera. 2. Slide the ring to OPEN. 3. Mount the lens. 4. Slide the ring to Lock.

Some FD lenses have a lock switch on the end that attaches to the camera: just slide the lever towards the lock and switch the tab to 'L' and then you can work the f/stop ring and the blades will close and open-permanent prewpview mode!

I successfully used this adapter on a Canon T2i camera to adapt and old Canon FD 50mm 1.8 S.C. lens and also used it with and without a Samigon CF1 Auto Teleplus 3x tele-extender.

It's been foggy for days, but I am able to focus on trees in the far-off distance, so I believe this will let you focus to infinity (which is why THIS adapter has a glass lens in it). Photos look sharp edge-to-edge, corners look fine, no vignetting.

Adapting a 'free' f/1.8 lens is very nice--lots of light and blurred background--but manually focusing with such shallow nice depth of field takes a little getting used to. At first I thought the lens was a little 'soft', or maybe the 40 year old UV filter was dirty, but maybe it was just a little lack of focus on my part.(update: all the FD adapters have a lens in them which creates haze, NOT in your viewfinder but in the final image at wide open fstops. f/1.8 is like a glamour photo on bright days, very hazy like fogged eyeglasses on a cold day. Stop down and it gets better. This seems to occur no matter what brand adapter used as far as I can tell from my reading online. Lighter objects almost glow with haze. I've adapted Olympus and Nikon lenses just fine but they are just metal adapters: no lens in them. My lens is useless at f1.8 but around f8 it's fine. On video it seemed okay too so I'm still happy, but I'm glad all my other lenses are adapted w/out glass adapters. Old Canon FD lenses just don't adapt as well as other makers-at least at extremely wide apertures. Your old Canon lens might be a telezoom that doesn't even open to 1.8, in which case you might be fine. My 3x tele extender also 3x the f/stop so with it the softness I was seeing was really at f6.4 wide open.)

Just in case you didn't know: your autofocus points will NOT light up and beep; you can use a Canon T2i on auto but your aperture will not register so you'll want to use it on Manual and adjust ISO and shutter speed on the camera after setting your f/stop on the lens manually. You will be focusing manually as well.

One other thing you might not be used to: old lenses have lots of jagged little levers and posts sticking out of them. Do not let them poke/scratch the center lens in this adapter. It's VERY easy to let this happen.

I already had a lens cap for my really old lens. The supplied front cap with this kit fit nicely as a body cap onto the old Canon FTb 35mm film SLR body which I snagged my lens off of-NICE! Now I don't have to buy a body/dust cap for the old film camera body. The rear lens end cap that came with this adapter says Canon on it and fits the adapter nicely.

I tried this on 1/7/17 with a Vivitar 28-210mm 1:3.5-5.6 macro focusing zoom lens With c/fd mount. On my eos with this adapter I can NOT focus on the house across the street or to infinity. I can however use the push/pull ring to pull to focus on object in the same room as me up to almost touching the lens, then turn the focus ring on the lens to get nice focus. I took video with this setup of stuff on a coffee table and it was beautiful! The house across the street is just a blur. In the video I was able to adjust f stop blurring and unbluring the background behind object in the coffee table (follow the procedure above for mounting or else for fstop will be locked open). With this lens i get less glare/haze at either end of the fstop range so that was nice for photos. In video i had no glare problems with the vivitar.

Each old lens is different with these Canon to eos adapters.

I got this last old canon lens for $5 so it's nice to be able too use them as macro lens and sometimes beyond. HOWEVER: the worst lens to adapt to eos are old canon fd lenses. The old olympus zuiko lenses need no glass in their adapters and just pop on and work to infinity. Same with ancient Nikon lenses.

If you're planning on buying a bunch of old film lenses for your newer digital canon dslr get olympus and nikon adapters and lenses-those adapters let those lenses work perfectly. All canon to eos adapters do NOT allow old canon lenses to work perfectly, but they can still be fun. I have a 4000mm old olympus lens and can focus on bolts and screws on passing airplanes, canon fd lens adapters won't let me focus on the house across the street.

Moreover: canon fd mounts are physically hard to take on and off the original cameras and these adapters. The adapters for old olympus lenses are easy to use. The adapters for old nikon lenses tend to get stuck on the old lenses. I have 1 canon fd to canon eos adapter; I have 1 Olympus om zuiko to eos adapter.  I have a few nikon to eos adapters PERMANENTLY STUCK onto some old nikons. Every old nikon someone gives me gets its own adapter since the jam on, lol. It's all great fun.

Old nikon: video. Old canon: macro video. Old olympus: great super telephoto, macro, ultrawide, fisheyes, etc.

If you have a box of old canon fd lenses then go for this. If you have a resale shop with lots of lenses: buy nikon and olympus adapters and lenses. ALL CANON FD TO EOS ADAPTERS DON'T WORK PERFECTLY (unlike the nikon and Olympus adapters).

Nikon and olympus to eos = serious photography and video work can be done.

Canon fd to eos adapters = fun, occasionally decent macro, weird effects, better than tossing the lenses in the garbage.

-Mike from Detroit
Michael Logusz",Mount OPEN then lock,1386115200,,MichaelLogusz@outlook.com
5.0,10,True,"10 25, 2013",B005TJ5CEG,,"First: the highest magnification objective lens is oil immersion only. You must put a drop of oil on your slide cover and then lower the lens into the oil to focus on anything. You must NOT do that with the other three lenses.

This is what allows the 2000x mag: light goes through oil instead of unsteady air. It's a fantastic feature at this price. Don't worry though, you can be happy just using the other 3 lenses, which is what I plan on using mostly.

**If you didn't know what oil immersion objective meant-know is the time to research 'microscopy techniques' along with 'microscope slide preparation' and 'cell staining' techniques and 'dark field' vs 'light field'-- illumination'. Basically: this is a 'real' microscope, and you should learn how to operate it in the proper manner to use it at its fullest. With that said, except for the 4th lens they throw in (oil immersion) a little kid could easily figure out all the features. There is supposed to be a slip of paper with address to download a manual-but I didn't see it. There are tons of omax videos on you tube if you need help.

I chose the LED light because: they run cold so it won't kill live pond cells like a hot halogen would. They also last longer.

So, how is this scope? Well it's better than what I used in high school and Chem I in university. It's way better than my 4 cheapie Tasco-style garage sale scopes and my homemade macrobellow system.

Assembly was easy: loosen knob at top to remove top cover. Remove clear cap on underside of head unit. Place head unit on top of scope and re-tighten knob. Pop in the eyepieces: my 20x were **really** tight and hard to install, but it's 40 degrees here and the metal holes that they fit into may have contracted a bit. Just be patient and they'll go in. That's it!! Oh, and plug it in for light.

The objectives are parfocal, meaning when you switch between them you only have refocus using the fine-focus knobs a little. Great feature which makes using it even more of a pleasure. There is a dimmer switch for the LED, and also a diaphragm under the stage-which was half closed when shipped: slide it open for even more light. Again, if you don't know what these terms mean you should start researching 'how to use a microscope'.

Optics appear flat and focused edge-to-edge, which is the opposite of many telescope mirrors I deal with~but that's another story. Each eyepiece spins for diopter adjustment, and the eyepieces slide apart for interpuppillary adjustment. Focus with one eye closed using the focus knobs, then switch eyes and focus that eye buy turning that eyepiece itself. Now open both eyes: both will be focused but you'll have double vision: slide the eyepieces further and closer apart. At some point the double vision goes away and in a snap you get a very wide-field view: a single view. It a little like those 'magic eye' optical illusion posters: once you get it-you get it. But it might take a few minutes of fiddling.

Delivery: I just joined amazon prime as a guest and this was the first thing I bought. It arrived (to Detroit) in less than 48 hours. It came with all the accessories listed and a nice cover too. It comes with a green filter in case you get chromatic flaring: but that's why the scope doesn't cost **literally** 15x more (at a minimum).

I love this microscope, and wished I had bought it earlier. A hearty 5 stars!!!",Love it! Highest lens is oil immersion.,1382659200,,MichaelLogusz@outlook.com
5.0,,True,"04 29, 2018",B004XC6GJ0,"{'Size:': ' Max Download Speed:  343 Mbps', 'Color:': ' White', 'Style:': ' Cable Modem'}",GREAT,Five Stars,1524960000,,RoySmith@hotmail.com
5.0,,True,"04 21, 2014",B005EJH6RW,"{'Size:': ' 1-Pack', 'Configuration:': ' Wired Mouse'}","The AmazonBasics 3-Button USB Wired Mouse (Black) is a great mouse, especially for small hands. It's a bit smaller than others so it's a perfect fit in my hand. It was easy to install - just plug it in a USB port and that's it. I love it.",AmazonBasics 3-Button USB Wired Mouse,1398038400,,ThinkingApe@hotmail.com
4.0,,True,"10 11, 2015",B005L38VRU,"{'Color:': ' Silver', 'Package Type:': ' Standard Packaging'}","Great keyboard but the touch is a bit springy and heavy and needs to be lightened a bit.  It requires more force than I like when touch typing.  I have a smaller Logitech bluetooth keyboard that has a very nice light touch, almost exactly like the Apple keyboard you get with new iMacs these days.",Great keyboard but the touch is a bit springy and ...,1444521600,,ELLWIN@outlook.com
2.0,6,True,"01 28, 2014",B007YV0UQW,,"My splitter stopped working after one month and had to be returned.  Its probably an anomaly but while it worked from the get go, it definitely failed later on.",broke,1390867200,,ELLWIN@outlook.com
1.0,5,True,"06 24, 2016",B005LFT3QG,"{'Size:': ' 64 GB', 'Package Type:': ' Standard Packaging'}","I bought the exact same card from a local dealer and it worked fine to record 4k and high frame rate HFR slow motion on my Sony A7s Mark ii, but this one NO. the printing on the face of this card is also not of good quality (there is a ghosting on the text which happens when it is not printed in correct alignment at the printer) and it looks dim compared to the original. It says made in Korea. The one that I have originally says made in China and it was way better. What a waste. Photos attached (left this card, right original one that works as specified)  i give one star because it works with my old cameras and on my 5D Mark iii which, well of course it should. Because even SDHC cards should work on older units. Otherwise i should have put zero stars.",Not happy with this. Does not work as spec'd. May be a slowcard rebranded with high spec labeling,1466726400,"['https://images-na.ssl-images-amazon.com/images/I/71QSLaEkh7L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71zvAoe2p-L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/710o55YxFDL._SY88.jpg']",MarkVicente@outlook.com
4.0,,True,"12 10, 2013",B005OTPVMY,,It worked as advertised and I was extremely satisfied with the product and would recommend anyone to purchase this product.,Worked very well,1386633600,,DonaldWolcott@outlook.com
4.0,,True,"04 5, 2017",B00630WKGI,{'Style:': ' 100FT/2 HDMI inputs'},Works OK!,Works,1491350400,,DavidParkhill@rediffmail.com
3.0,,True,"06 19, 2016",B006LW0W5Y,{'Configuration:': ' 16-Gauge Speaker Wire'},"This is not like what I've seen for other 16ga wire, it's pretty narrow. More like lamp wire if you ask me. Not hefty enough for what I wanted. If you have little speakers it should be fine but my husband's Monitor Bronze series were just too much for it, we tried using electrical tape to make the banana clips work and they still fell out.",Pretty wimpy.,1466294400,,Brue@outlook.com
1.0,,True,"05 10, 2016",B006THNH7Q,"{'Model:': ' Signel Band', 'Model Number:': ' High Gain'}","did what it's supposed to do, be better than laptop's internal wifi.

update: Bought it in March 2016, it's now it's November and it broke. It was working the whole time but it just stopped working. Plugged into multiple computers, they all detected it and tried to find driver but immediately say it could not be found.",not very reliable from my experience,1462838400,,JeremyWai@rediffmail.com
5.0,,True,"10 31, 2015",B007H4VT7A,,EXCELLENT FIVE STAR RADIOS!!!,HIGHLY RECOMMENDED!!!,1446249600,,RobertoAlvarez@gmail.com
5.0,,True,"01 18, 2014",B007H4VT7A,,Great little performer for the buck. I have purchased about a dozen over the year and not a problem yet! They leave very little to be desired for the price!,GREAT little radio!,1390003200,,MauriceVerBrugge@rediffmail.com
3.0,,True,"10 18, 2014",B007TUSXEY,,A little light on output.,Three Stars,1413590400,,MauriceVerBrugge@rediffmail.com
4.0,,True,"10 18, 2014",B008RZ0EQ0,,Nice addition to portable-makes operation lots easier.,Four Stars,1413590400,,MauriceVerBrugge@rediffmail.com
3.0,,True,"02 18, 2016",B009OXMZ3Y,,Leaves something to be desired.,Three Stars,1455753600,,MauriceVerBrugge@rediffmail.com
5.0,,False,"01 3, 2014",B007IV7KRU,"{'Color:': ' DEEP SEA (OCEAN BLUE/BLACK)', 'Package Type:': ' Standard Packaging'}","I was looking for a case for my sister's iPad 2 that was more substantial than what I had originally gotten for her.  I had seen another case which looked good, but when I looked at the price I almost fell over in disbelief.  Then I found this product, which was similar to the first case I had seen and was MUCH cheaper.  It was a little challenging figuring out how to disassemble the case to place the iPad inside, the instructions weren't much help, but after taking some time and some care we were able to figure it out.  It adds a little weight to the iPad, but it definitely looks like it will protect it in the case of accidental falls and such.  Plus my sister really likes the cover and how you can use it to prop up the iPad when reading or watching videos.  Overall, this product was exactly what I was looking for and the price on here at Amazon couldn't be beat!

UPDATE, September 2014: There is a rubberized layer on the outside and the back, and since my sister constantly is using her iPad the oils in her skin caused the rubber to fail and it started to fall off the case.  She contacted OtterBox's customer service and they instructed her on what she needed to do to get a replacement, since it has a lifetime warranty.  Sent off the form and in less than a week the replacement arrived.  Excellent customer service for an excellent product!",Exactly what I was looking for,1388707200,,BrianLaws@hotmail.com
3.0,,True,"06 20, 2015",B007Q45EF4,,It seems no matter what i do i still get poor skipping conditions with this adapter. I don't have it near any Wi-Fi connections and i just about nearly had it with trying to restart my computer every time this starts having skipping issues. Sometimes there is poor quality sound as well and overall i feel frustrated in trying to attempt to fix the quality/skipping issues with this adapter.,Constantly skips,1434758400,,MidnightDistortions@gmail.com
5.0,,True,"07 8, 2017",B007QUYQSY,,High quality.,Five Stars,1499472000,,MarshLaird@gmail.com
5.0,,True,"10 26, 2015",B007Z4R7EQ,,Great,Five Stars,1445817600,,FaylawndaTruman@rediffmail.com
4.0,,True,"11 13, 2017",B008RZ0EQ0,,Works fine - but cheaply made. I use in Kayak's with a $15 two-way radio - works great for this purpose.,"Works as advertised, but not great quaity - however the price is right!",1510531200,,scottcovey@outlook.com
3.0,,True,"03 3, 2014",B009C98NPY,,"I've had this keyboard for a few months now, and while the input feels great, it is really hindered by cheap keys. I've had my CTRL, ESC, DEL, 3, and F5 keys all pop off. They develop micro cracks where they attach to the keys and then become loose and pop off. Anyone who plays FPS's on a regular basis knows that a bad CTRL key can be a huge frustration. After doing some searching I've found multiple forum threads with multiple people all complaining about the same problem. Logitech has a good CS department and will RMA the problem for you but that leaves you without your keyboard.

Besides the broken key issue, this is a great keyboard. Adjustable backlighting with different zones is great, and the keyboard is quiet but still gives a satisfying click on press. If they could iron out the cheap key problem it'd be a 5star board but what good is a keyboard without keys?",Good Keyboard Weak Keys,1393804800,,AdamDominguez@outlook.com
5.0,,True,"05 2, 2018",B009GUXU52,{'Size:': ' Single'},Inexpensive. Perfect length. It's a cable.,Perfect length. It's a cable,1525219200,,ScottLembcke@gmail.com
5.0,,True,"11 16, 2015",B009GUXU52,{'Size:': ' Single'},work fine,Five Stars,1447632000,,TonyAcevedo@outlook.com
